name,body_bytes,delta_vs_40000,byte_category,q,frontier_cap,dense_bytes,cu,prover_seconds,peak_rss,full_100_bit_claim
selected-v7,30824,-9176,40000,16,203,159383552,unmeasured,unmeasured,unmeasured,false
qm31-direct-q16,31916,-8084,40000,16,224,159383552,unmeasured,unmeasured,unmeasured,false
two-component-ood-q16-canonical,32812,-7188,40000,16,224,159383552,unmeasured,unmeasured,unmeasured,false
qm31-direct-q17,33161,-6839,40000,17,236,159383552,unmeasured,unmeasured,unmeasured,false
two-component-ood-q17-canonical,34057,-5943,40000,17,236,159383552,unmeasured,unmeasured,unmeasured,false
qm31-direct-q18,34406,-5594,40000,18,248,159383552,unmeasured,unmeasured,unmeasured,false
two-component-ood-q18-canonical,35302,-4698,40000,18,248,159383552,unmeasured,unmeasured,unmeasured,false
qm31-direct-q19,35651,-4349,40000,19,260,159383552,unmeasured,unmeasured,unmeasured,false
two-component-ood-q19-canonical,36547,-3453,40000,19,260,159383552,unmeasured,unmeasured,unmeasured,false
qm31-direct-q20,36896,-3104,40000,20,272,159383552,unmeasured,unmeasured,unmeasured,false
two-component-ood-q20-canonical,37792,-2208,40000,20,272,159383552,unmeasured,unmeasured,unmeasured,false
qm31-direct-q21,38141,-1859,40000,21,284,159383552,unmeasured,unmeasured,unmeasured,false
two-component-ood-q21-canonical,39037,-963,40000,21,284,159383552,unmeasured,unmeasured,unmeasured,false
qm31-direct-q22,39386,-614,40000,22,296,159383552,unmeasured,unmeasured,unmeasured,false
two-component-ood-q22-canonical,40282,282,40960_only,22,296,159383552,unmeasured,unmeasured,unmeasured,false
qm31-direct-q23,40631,631,40960_only,23,308,159383552,unmeasured,unmeasured,unmeasured,false
two-component-ood-q23-canonical,41527,1527,over_40960,23,308,159383552,unmeasured,unmeasured,unmeasured,false
mixed-p8-chat-crosscheck-log20,40958,958,40960_only,18,265,704643072,unmeasured,unmeasured,unmeasured,false
mixed-p8-hard40000-log20,39994,-6,40000,18,246,704643072,unmeasured,unmeasured,unmeasured,false
mixed-p8-chat-crosscheck-log21,40951,951,40960_only,17,278,1409286144,unmeasured,unmeasured,unmeasured,false
mixed-p8-hard40000-log21,39987,-13,40000,17,259,1409286144,unmeasured,unmeasured,unmeasured,false
mixed-p8-chat-crosscheck-log22,40788,788,40960_only,16,288,2818572288,unmeasured,unmeasured,unmeasured,false
mixed-p8-hard40000-log22,39980,-20,40000,16,272,2818572288,unmeasured,unmeasured,unmeasured,false
full-quintic-q21-canonical,41692,1692,over_40960,21,284,171966464,unmeasured,unmeasured,unmeasured,false
full-quintic-q22-canonical,42984,2984,over_40960,22,296,171966464,unmeasured,unmeasured,unmeasured,false
full-quintic-q23-canonical,44276,4276,over_40960,23,308,171966464,unmeasured,unmeasured,unmeasured,false
