profile,stage,success,actual_cu,transaction_bytes,upload_chunks,heap_frame_bytes_requested,error
whir-m31-dev-v0,init_upload,true,605,249,0,0,
whir-m31-dev-v0,upload_chunk_0,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_1,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_2,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_3,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_4,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_5,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_6,true,1139,552,1,0,
whir-m31-dev-v0,verify,true,96118,455,7,32768,
whir-m31-solana-v0,init_upload,true,662,249,0,0,
whir-m31-solana-v0,upload_chunk_0,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_1,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_2,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_3,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_4,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_5,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_6,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_7,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_8,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_9,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_10,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_11,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_12,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_13,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_14,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_15,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_16,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_17,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_18,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_19,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_20,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_21,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_22,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_23,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_24,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_25,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_26,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_27,true,1325,924,1,0,
whir-m31-solana-v0,upload_chunk_28,true,1203,680,1,0,
whir-m31-solana-v0,verify,true,326021,455,29,65536,
whir-m31-dev-v0,init_upload,true,605,249,0,0,
whir-m31-dev-v0,upload_chunk_0,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_1,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_2,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_3,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_4,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_5,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_6,true,1139,552,1,0,
whir-m31-dev-v0,corruption/flip_merkle_sibling,false,8978,455,7,32768,"{""InstructionError"":[2,""InvalidInstructionData""]}"
whir-m31-dev-v0,init_upload,true,605,249,0,0,
whir-m31-dev-v0,upload_chunk_0,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_1,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_2,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_3,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_4,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_5,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_6,true,1139,552,1,0,
whir-m31-dev-v0,corruption/flip_fold_coefficient,false,8978,455,7,32768,"{""InstructionError"":[2,""InvalidInstructionData""]}"
whir-m31-dev-v0,init_upload,true,605,249,0,0,
whir-m31-dev-v0,upload_chunk_0,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_1,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_2,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_3,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_4,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_5,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_6,true,1139,552,1,0,
whir-m31-dev-v0,corruption/flip_query_opening,false,8978,455,7,32768,"{""InstructionError"":[2,""InvalidInstructionData""]}"
whir-m31-dev-v0,init_upload,true,605,249,0,0,
whir-m31-dev-v0,upload_chunk_0,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_1,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_2,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_3,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_4,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_5,true,1325,924,1,0,
whir-m31-dev-v0,upload_chunk_6,true,1139,552,1,0,
whir-m31-dev-v0,corruption/flip_statement_digest,false,2407,455,7,32768,"{""InstructionError"":[2,""InvalidInstructionData""]}"
