scenario_name,whir_fold_mode,merkle_proof_mode,security_target_bits,soundness_assumption,total_explicit_query_count,round_query_counts,commitment_ood_samples,proof_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,stage,repetition,actual_cu,elapsed_ns,status,error,sha_calls,sha_bytes,merkle_levels,m31_mul_ops,cm31_mul_ops,qm31_mul_ops,field_mul_projection,extension_mul_projection,field_inv_projection
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,host_verify,0,,5396625,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,0,0,upload_total,0,11537,,ok,,0,0,0,0,0,0,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,0,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,0,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,1,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,1,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,2,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,2,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,3,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,3,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,4,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,4,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,5,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,5,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,6,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,6,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,7,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,7,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,8,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,total_sbf,8,702910,,ok,,255,16060,254,2313,180,18,2902,234,36
whir_t100_capacity_full,raw_fibers,minimal_subtree,100.0,whir_capacity_full,28,18|10,2,5668,640,9,32768,1,verify_sbf,9,691373,,ok,,255,16060,254,2313,180,18,2902,234,36
