scenario_name,path_variant,whir_fold_mode,merkle_proof_mode,query_reuse_mode,security_target_bits,soundness_assumption,total_explicit_query_count,round_query_counts,commitment_ood_samples,proof_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,stage,repetition,actual_cu,elapsed_ns,status,error,sha_calls,sha_bytes,merkle_levels,m31_mul_ops,cm31_mul_ops,qm31_mul_ops,field_mul_projection,extension_mul_projection,field_inv_projection
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,host_verify,0,,4500125,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,0,0,upload_total,0,31534,,ok,,0,0,0,0,0,0,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,0,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,0,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,1,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,1,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,2,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,2,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,3,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,3,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,4,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,4,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,5,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,5,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,6,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,6,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,7,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,7,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,8,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,8,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,verify_sbf,9,570718,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,query_only,local_interpolant,not_applicable,not_applicable,128.0,whir_capacity_full,39,25|14,2,15468,640,25,32768,1,total_sbf,9,602252,,ok,,471,26868,354,4424,404,39,5672,521,78
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,host_verify,0,,10156125,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,0,0,upload_total,0,12486,,ok,,0,0,0,0,0,0,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,0,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,0,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,1,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,1,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,2,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,2,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,3,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,3,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,4,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,4,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,5,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,5,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,6,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,6,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,7,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,7,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,verify_sbf,8,915887,,ok,,315,19719,354,3201,250,25,4014,325,50
whir_t128_capacity_full,transcript_full,raw_fibers,minimal_subtree,per_query_inversion,128.0,whir_capacity_full,39,25|14,2,5932,640,10,32768,1,total_sbf,8,928373,,ok,,315,19719,354,3201,250,25,4014,325,50
