scenario_name,merkle_proof_mode,payload_format,security_target_bits,soundness_assumption,total_explicit_query_count,round_query_counts,commitment_ood_samples,payload_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,stage,repetition,actual_cu,elapsed_ns,status,error,parser_bytes,sha_calls,sha_bytes,merkle_levels
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,host_parse,0,,1794334,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,0,0,upload_total,0,16635,,ok,,0,0,0,0
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,0,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,0,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,1,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,1,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,2,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,2,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,3,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,3,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,4,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,4,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,5,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,5,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,6,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,6,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,7,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,7,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,8,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,8,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,parse_sbf,9,226295,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,flat_nodes,100.0,whir_capacity_full,28,18|10,2,8128,640,13,32768,1,total_sbf,9,242930,,ok,,8128,256,17424,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,host_parse,0,,3150792,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,0,0,upload_total,0,21615,,ok,,0,0,0,0
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,0,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,0,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,1,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,1,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,2,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,2,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,3,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,3,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,4,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,4,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,5,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,5,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,6,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,6,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,7,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,7,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,8,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,8,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,parse_sbf,9,306038,,ok,,10352,282,21664,19
whir_t100_capacity_full,separate_paths,canonical_payload,100.0,whir_capacity_full,28,18|10,2,10352,640,17,32768,1,total_sbf,9,327653,,ok,,10352,282,21664,19
whir_t100_capacity_full,minimal_subtree,flat_nodes,100.0,whir_capacity_full,28,18|10,2,1440,640,3,32768,1,host_parse,0,,312000,ok,,1440,47,3212,19
whir_t100_capacity_full,minimal_subtree,flat_nodes,100.0,whir_capacity_full,28,18|10,2,1440,640,3,0,0,upload_total,0,3621,,ok,,0,0,0,0
whir_t100_capacity_full,minimal_subtree,flat_nodes,100.0,whir_capacity_full,28,18|10,2,1440,640,3,32768,1,parse_sbf,0,42785,,ok,,1440,47,3212,19
