scenario_name,round0_variant,whir_fold_mode,merkle_proof_mode,security_target_bits,soundness_assumption,round_index,round_query_count,round_merkle_depth,round_ood_samples,round_selector_count,round_pow_bits,round_sumcheck_rounds,round_folding_pow_bits,proof_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,stage,repetition,actual_cu,elapsed_ns,status,error,sha_calls,sha_bytes,merkle_levels,m31_mul_ops,cm31_mul_ops,qm31_mul_ops,field_mul_projection,extension_mul_projection,field_inv_projection
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,host_verify,0,,5142709,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,0,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,1,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,2,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,3,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,4,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,5,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,6,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,7,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,8,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,9,656629,,ok,,222,14871,254,1956,180,18,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,0,4043,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,0,33963,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,0,1473,,ok,,0,0,0,0,0,0,2536,234,36
