scenario_name,path_variant,security_target_bits,soundness_assumption,total_explicit_query_count,round_query_counts,commitment_ood_samples,proof_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,stage,repetition,actual_cu,elapsed_ns,sha_calls,sha_bytes,merkle_levels,m31_mul_ops,cm31_mul_ops,qm31_mul_ops,field_mul_projection,extension_mul_projection,field_inv_projection
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,host_verify,0,,1538208,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,0,0,upload_total,0,26438,,0,0,0,0,0,0,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,0,434706,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,0,461144,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,1,434706,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,1,461144,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,2,434706,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,2,461144,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,3,434706,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,3,461144,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,4,434706,,338,19280,254,3176,290,28,4072,374,56
whir_t100_capacity_full,query_only,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,4,461144,,338,19280,254,3176,290,28,4072,374,56
