Feature                                      | Status                  | Activation Slot | Description
16FMCmgLzCNNz6eTwGanbyN2ZxvTBSLuQ6DZhgeMshg  | active since epoch 0    | 0               | Stop truncating strings in syscalls #31029
21AWDosvp3pBamFW91KB35pNoaoZVTM7ess8nr2nt53B | active since epoch 0    | 0               | merge NonceError into SystemError
25vqsfjk7Nv1prsQJmA4Xu1bN61s8LXCBGUPp8Rfy1UF | active since epoch 0    | 0               | only hash accounts in incremental snapshot during incremental snapshot creation #26799
265hPS8k8xJ37ot82KEgjRunsUp5w4n4Q4VwwiN9i9ps | active since epoch 0    | 0               | optimize epoch boundary updates
28s7i3htzhahXQKqmS2ExzbEoUypg9krwvtK2M9UWXh9 | active since epoch 0    | 0               | update rewards from cached accounts
2B2SBNbUcr438LtGXNcJNBP2GBSxjx81F945SdSkUSfC | active since epoch 0    | 0               | SIMD-0175: Disable partitioned rent collection #4562
2Fr57nzzkLYXW695UdDxDeR5fhnZWSttZeZYemrnpGFV | active since epoch 0    | 0               | SIMD-0140: Migrate Config program to Core BPF
2GCrNXbzmt4xrwdcKS2RdsLzsgu4V5zHAemW57pcHT6a | active since epoch 0    | 0               | stop use static SimpleVote transaction cost, issue #10227
2HmTkCj9tXuPE4ueHzdD7jPeMf9JGCoZh5AsyoATiWEe | active since epoch 0    | 0               | stop incorrectly throwing IncorrectProgramId in bpf_loader #30747
2R72wpcQ7qV7aTJWUumdn8u5wmmTyXbK7qzEy7YSAgyY | active since epoch 0    | 0               | include account index in rent tx error #25190
2h63t332mGCCsWK2nqqqHhN4U9ayyqhLVFvczznHDoTZ | active since epoch 0    | 0               | update syscall base costs
2jXx2yDmGysmBKfKYNgLj2DQyAQv6mMk2BPh4eSbyB4H | active since epoch 0    | 0               | deprecate fee calculator
2ry7ygxiYURULZCrypHhveanvP5tzZ4toRwVp89oCNSj | active since epoch 0    | 0               | apply cost tracker to blocks during replay #29595
36PRUK2Dz6HWYdG9SpjeAsF5F3KxnFCakA2BZMbtMhSb | active since epoch 0    | 0               | use correct check for nonoverlapping regions in memcpy syscall
3BX6SBeEBibHaVQXywdkcgyUk6evfYZkHdztXiDtEpFS | active since epoch 0    | 0               | warp timestamp again, adjust bounding to 150% slow #25666
3E3jV7v9VcdJL8iYZUMax9DiDno8j7EWUVbhm9RtShj2 | active since epoch 0    | 0               | demote program write locks to readonly, except when upgradeable loader present #19593 #20265
3HcSrCTGXTUnrTueHi4DAwNuMxZSsm5xui2Ax3mgxHqf | active since epoch 0    | 0               | SIMD-0232: Custom Commission Collector
3KZZ6Ks1885aGBQ45fwRcPXVBCtzUvxhUTkwKMR41Tca | active since epoch 0    | 0               | enable versioned transaction message processing
3NKRSwpySNwD3TvP5pHnRmkAQRsdkXWRr1WaQh8p4PWX | active since epoch 0    | 0               | Reject bpf callx r10 instructions
3XgNukcZWf9o3HdA3fpJbm94XFc4qpvTXc8h1wxYwiPi | active since epoch 0    | 0               | disable ldabs* and ldind* SBF instructions
3aJdcZqxoLpSBxgeYGjPwaYS1zzcByxUDqJkbzWAH1Zb | active since epoch 0    | 0               | move the CPI stack overflow check to the end of push
3ccR6QpxGYsAbWyfevEtBNGfWV4xBffxRj2tD6A9i39F | active since epoch 0    | 0               | check initialized Vote data
3gtZPqvPpsbXZVCx6hceMfWxtsmrjMzmg8C7PLKSxS2d | active since epoch 0    | 0               | filter vote slots older than the slot hashes history
3opE3EzAKnUftUDURkzMgwpNgimBAypW1mNDYH4x4Zg7 | active since epoch 0    | 0               | SIMD-0096: Reward full priority fee to validators
3u3Er5Vc2jVcwz4xr2GJeSAXT3fAj6ADHZ4BJMZiScFd | active since epoch 0    | 0               | durable nonces must be advanceable
3uFHb9oKdGfgZGJK9EHaAXN4USvnQtAFC13Fh5gGFS5B | active since epoch 0    | 0               | Update desired hashes per tick on epoch boundary
3uRVPBpyEJRo1emLCrq38eLRFGcu6uKSpUXqGvU8T7SZ | active since epoch 0    | 0               | check syscall outputs do_not overlap #28600
437r62HoAdUb63amq3D7ENnBLDhHT2xY8eFkLJYVKK4x | active since epoch 0    | 0               | enable the deactivate delinquent stake instruction #23932
4ApgRX3ud6p7LNMJmsuaAcZY5HWctGPr5obAsjB3A54d | active since epoch 0    | 0               | prevent calling precompiles as programs
