field	security	rate	num_variables	ok	max_pow_bits	realized_security_bits	initial_ood	round_count
Goldilocks2	100	1	16	true	30.253496664870802	98.4493941090123	1	3
Goldilocks2	100	1	18	true	34.25349666336919	96.3790047811209	1	3
Goldilocks2	100	1	20	true	40.753496553790605	92.4492708250759	1	4
Goldilocks2	100	1	22	true	44.75349597390863	90.3788814971845	1	4
Goldilocks2	100	1	24	true	51.25348567886154	86.44925541532456	1	5
Goldilocks2	100	2	16	true	33.75349666478367	96.44932365975863	1	3
Goldilocks2	100	2	18	true	37.7534966625185	94.37893433186723	1	3
Goldilocks2	100	2	20	true	44.25349551974639	90.44926201948356	1	4
Goldilocks2	100	2	22	true	48.25348567886154	88.37887269159215	1	4
Goldilocks2	100	2	24	true	54.752072486556415	84.44925431463435	1	5
Goldilocks2	100	3	16	true	37.253496660165766	94.44928843642182	1	3
Goldilocks2	100	3	18	true	41.25349654484242	92.37889910853042	1	3
Goldilocks2	100	3	20	true	47.75348205681109	88.44925761670754	1	4
Goldilocks2	100	3	22	true	51.75325940150685	86.37886828881614	1	4
Goldilocks2	100	3	24	true	58.24511249783653	82.44925376428955	1	5
Goldilocks2	100	4	16	true	40.753496553790605	92.4492708250759	1	3
Goldilocks2	100	4	18	true	44.75349597390863	90.3788814971845	1	3
Goldilocks2	100	4	20	true	51.25348567886154	86.44925541532456	1	4
Goldilocks2	100	4	22	true	55.25180715041054	84.37886608743315	1	4
Goldilocks2	100	4	24	false	panic	panic	panic	panic
Goldilocks2	128	1	16	true	58.24511249783653	127.99161583295319	2	3
Goldilocks2	128	1	18	false	panic	panic	panic	panic
Goldilocks2	128	1	20	false	panic	panic	panic	panic
Goldilocks2	128	1	22	false	panic	panic	panic	panic
Goldilocks2	128	1	24	false	panic	panic	panic	panic
Goldilocks2	128	2	16	false	panic	panic	panic	panic
Goldilocks2	128	2	18	false	panic	panic	panic	panic
Goldilocks2	128	2	20	false	panic	panic	panic	panic
Goldilocks2	128	2	22	false	panic	panic	panic	panic
Goldilocks2	128	2	24	false	panic	panic	panic	panic
Goldilocks2	128	3	16	false	panic	panic	panic	panic
Goldilocks2	128	3	18	false	panic	panic	panic	panic
Goldilocks2	128	3	20	false	panic	panic	panic	panic
Goldilocks2	128	3	22	false	panic	panic	panic	panic
Goldilocks2	128	3	24	false	panic	panic	panic	panic
Goldilocks2	128	4	16	false	panic	panic	panic	panic
Goldilocks2	128	4	18	false	panic	panic	panic	panic
Goldilocks2	128	4	20	false	panic	panic	panic	panic
Goldilocks2	128	4	22	false	panic	panic	panic	panic
Goldilocks2	128	4	24	false	panic	panic	panic	panic
Goldilocks3	100	1	16	true	19.66280431569141	99.99999999999997	1	3
Goldilocks3	100	1	18	true	19.66280431569141	99.99999999999997	1	3
Goldilocks3	100	1	20	true	19.66280431569141	99.99999999999997	1	4
Goldilocks3	100	1	22	true	19.66280431569141	99.99999999999997	1	4
Goldilocks3	100	1	24	true	19.66280431569141	99.99999999999997	1	5
Goldilocks3	100	2	16	true	19.82284782041613	99.99999999999999	1	3
Goldilocks3	100	2	18	true	19.82284782041613	99.99999999999999	1	3
Goldilocks3	100	2	20	true	19.82284782041613	99.99999999999999	1	4
Goldilocks3	100	2	22	true	19.82284782041613	99.99999999999999	1	4
Goldilocks3	100	2	24	true	19.82284782041613	99.99999999999999	1	5
Goldilocks3	100	3	16	true	19.941802361918285	100.0	1	3
Goldilocks3	100	3	18	true	19.941802361918285	100.0	1	3
Goldilocks3	100	3	20	true	19.941802361918285	99.99999999999997	1	4
Goldilocks3	100	3	22	true	19.941802361918285	99.99999999999997	1	4
Goldilocks3	100	3	24	true	19.941802361918285	99.99999999999997	1	5
Goldilocks3	100	4	16	true	18.95635177143869	99.99999999999997	1	3
Goldilocks3	100	4	18	true	18.95635177143869	99.99999999999997	1	3
Goldilocks3	100	4	20	true	18.95635177143869	99.99999999999997	1	4
Goldilocks3	100	4	22	true	18.95635177143869	99.99999999999997	1	4
Goldilocks3	100	4	24	true	18.95635177143869	99.99999999999997	1	5
Goldilocks3	128	1	16	true	19.941802361918285	127.99999999999999	1	3
Goldilocks3	128	1	18	true	19.941802361918285	127.99999999999999	1	3
Goldilocks3	128	1	20	true	19.941802361918285	127.99999999999997	1	4
Goldilocks3	128	1	22	true	19.941802361918285	127.99999999999997	1	4
Goldilocks3	128	1	24	true	19.941802361918285	127.99999999999997	1	5
Goldilocks3	128	2	16	true	19.40778655782792	127.99999999999996	1	3
Goldilocks3	128	2	18	true	19.40778655782792	127.99999999999996	1	3
Goldilocks3	128	2	20	true	19.40778655782792	127.99999999999996	1	4
Goldilocks3	128	2	22	true	19.40778655782792	127.99999999999996	1	4
Goldilocks3	128	2	24	true	19.40778655782792	127.99999999999996	1	5
Goldilocks3	128	3	16	true	19.604405131981707	127.99999999999997	1	3
Goldilocks3	128	3	18	true	19.604405131981707	127.99999999999997	1	3
Goldilocks3	128	3	20	true	19.604405131981707	127.99999999999997	1	4
Goldilocks3	128	3	22	true	19.604405131981707	127.99999999999997	1	4
Goldilocks3	128	3	24	true	22.253496665219217	127.99999999999996	1	5
Goldilocks3	128	4	16	true	19.941802361918285	127.99999999999997	1	3
Goldilocks3	128	4	18	true	19.941802361918285	127.99999999999997	1	3
Goldilocks3	128	4	20	true	19.941802361918285	127.99999999999997	1	4
Goldilocks3	128	4	22	true	19.941802361918285	127.99999999999996	1	4
Goldilocks3	128	4	24	true	25.753496665217234	127.99999999999798	1	5
