probe	status	proof_size_kib	avg_hashes_k	notes
g2_t100_r1_d18	timed_out_12m			full upstream prove did not finish; config max_pow=34.25
g2_t100_r2_d18	not_run_full			config max_pow=37.75, worse than timed-out r1 case
g2_t128_r1_d18	panic			>60-bit pow ceiling during config creation
g2_t128_r1_d20	panic			>60-bit pow ceiling during config creation
g3_t128_r1_d20	ok	180.5	4.0	completed
g3_t128_r2_d20	ok	129.4	2.8	supplemental viable-rate probe
g3_t128_r3_d20	ok	109.4	2.4	supplemental viable-rate probe
g3_t128_r4_d20	ok	96.9	2.1	supplemental viable-rate probe
g3_t100_r1_d18	ok	113.9	2.4	supplemental 100-bit probe
g3_t100_r2_d18	ok	80.0	1.7	supplemental 100-bit probe
g3_t100_r3_d18	ok	68.2	1.4	supplemental 100-bit probe
g3_t100_r4_d18	ok	60.7	1.3	supplemental 100-bit probe
